alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-21,-0.4681,0.24295,0.24185,-0.0087,1,0.0066,-1.6013,0,0.2022,,
-20,-0.4325,0.23018,0.22908,-0.0166,1,0.0067,-1.4961,0,0.1825,,
-19,-0.3982,0.21729,0.21618,-0.0239,1,0.0067,-1.4337,0,0.1606,,
-18,-0.3655,0.20441,0.20331,-0.0306,1,0.0067,-1.4595,0,0.1365,,
-17,-0.3361,0.19172,0.19063,-0.0364,1,0.0067,-1.5039,0,0.1117,,
-16,-0.3144,0.17935,0.17827,-0.0398,1,0.0067,-1.5844,0,0.0934,,
-12,-0.6547,0.0201,0.01764,-0.1566,0.91,0.0083,-11.7374,0,-0.009,,
-11,-0.5595,0.01375,0.01045,-0.1578,0.8784,0.0092,-10.586,0,-0.0517,,
-10,-0.4443,0.01193,0.00838,-0.1573,0.8536,0.0113,-9.0743,0,-0.1248,,
-9,-0.3257,0.0112,0.00751,-0.1569,0.8248,0.012,-7.5611,0,-0.2551,,
-8,-0.2097,0.00956,0.00548,-0.1568,0.796,0.0127,-6.2855,0,-0.5277,,
-7,-0.0927,0.00804,0.00354,-0.1566,0.7651,0.0145,-5.1525,0,-1.4956,,
-6,0.0256,0.00737,0.00269,-0.1566,0.7291,0.0182,-4.0631,0,6.5465,,
-5,0.143,0.00701,0.00209,-0.1566,0.6827,0.0221,-3.1607,0,1.3689,,
-4,0.2608,0.00677,0.00171,-0.1567,0.6426,0.0269,-2.4108,0,0.861,,
-3,0.3772,0.00665,0.00141,-0.1568,0.5928,0.0372,-1.7458,0,0.6705,,
-2,0.4935,0.00658,0.00126,-0.157,0.5517,0.0578,-1.1764,0,0.57,,
-1,0.6091,0.00664,0.00124,-0.1572,0.5116,0.087,-0.9554,0,0.5079,,
0,0.725,0.00668,0.00131,-0.1575,0.4829,0.1359,-1.0467,0,0.4656,,
1,0.8414,0.00669,0.00144,-0.158,0.4663,0.2045,-1.1426,0,0.4349,,
2,0.9569,0.00674,0.00167,-0.1585,0.4486,0.3136,-1.2456,0,0.4114,,
4,1.1816,0.00621,0.00243,-0.1582,0.4211,1,-1.4694,0,0.3771,,
5,1.2948,0.00659,0.00279,-0.1581,0.4065,1,-1.597,0,0.364,,
6,1.4012,0.00732,0.00333,-0.1567,0.3618,1,-1.7677,0,0.3523,,
7,1.4976,0.00851,0.00422,-0.1535,0.299,1,-2.2354,0,0.3415,,
8,1.5684,0.01073,0.00589,-0.1457,0.1935,1,-2.7497,0,0.3304,,
9,1.6076,0.01398,0.00856,-0.1328,0.0894,1,-3.2369,0,0.3184,,
10,1.6547,0.01718,0.01154,-0.1225,0.0424,1,-3.781,0,0.3082,,
11,1.7078,0.02049,0.01485,-0.1144,0.0261,1,-4.466,0,0.2993,,
12,1.754,0.02464,0.01907,-0.1067,0.0183,1,-5.1938,0,0.2911,,
13,1.7867,0.03033,0.02488,-0.0991,0.0129,1,-5.8941,0,0.2837,,
14,1.8176,0.03704,0.03179,-0.0932,0.0114,1,-6.6277,0,0.2773,,
15,1.8293,0.04623,0.04116,-0.0878,0.0093,1,-7.2788,0,0.2717,,
16,1.8211,0.05852,0.05375,-0.0838,0.0073,1,-7.8031,0,0.2672,,
18,1.8053,0.08461,0.08037,-0.0805,0.0066,1,-8.9387,0,0.2607,,
19,1.7843,0.09982,0.09586,-0.081,0.006,1,-9.4987,0,0.2588,,
20,1.7578,0.11617,0.11247,-0.0831,0.0052,1,-10.0056,0,0.2579,,
21,1.7294,0.13325,0.12982,-0.0872,0.0045,1,-10.4593,0,0.2582,,
22,1.6947,0.15163,0.14853,-0.0937,0.004,1,-10.795,0,0.2602,,
23,1.663,0.17069,0.16792,-0.1026,0.0037,1,-11.0874,0,0.2635,,
24,1.6243,0.19219,0.18979,-0.115,0.0036,1,-11.1969,0,0.2696,,
25,1.5847,0.21533,0.21329,-0.1303,0.0034,1,-11.1507,0,0.278,,
