alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-24,-1.0765,0.22247,0.22107,0.0597,1,0.0094,-7.5361,0,0.2635,,
-23,-1.1301,0.19209,0.19047,0.0392,1,0.0104,-8.3536,0,0.2442,,
-22,-1.2102,0.16012,0.15822,0.0183,1,0.0109,-9.2058,0,0.2266,,
-21,-1.3191,0.12659,0.12432,-0.0019,1,0.0111,-10.0998,0,0.2123,,
-20,-1.4601,0.09117,0.08843,-0.0207,1,0.0111,-11.069,0,0.2021,,
-19,-1.5606,0.06382,0.06063,-0.0333,1,0.0113,-11.5034,0,0.1977,,
-18,-1.6031,0.04567,0.04211,-0.0398,1,0.0116,-11.3613,0,0.197,,
-17,-1.601,0.03425,0.03038,-0.0414,1,0.0119,-10.8276,0,0.1986,,
-16,-1.57,0.02707,0.02295,-0.0394,1,0.0121,-10.0782,0,0.2017,,
-15,-1.5358,0.02161,0.01719,-0.0337,1,0.013,-9.3406,0,0.207,,
-14,-1.4883,0.018,0.01334,-0.0255,1,0.0149,-8.557,0,0.2138,,
-13,-1.4241,0.01578,0.01102,-0.0171,1,0.0173,-7.6899,0,0.2206,,
-12,-1.3369,0.01428,0.00942,-0.0119,1,0.0187,-6.7473,0,0.2255,,
-11,-1.2581,0.01287,0.00792,-0.0045,1,0.0219,-5.9077,0,0.2323,,
-9,-1.0205,0.01029,0.00538,-0.0059,0.9937,0.0347,-4.1556,0,0.2328,,
-8,-0.8971,0.00925,0.00439,-0.0074,0.9821,0.0451,-3.4279,0,0.2314,,
-7,-0.7879,0.00842,0.0036,-0.0056,0.9555,0.0589,-2.7953,0,0.2336,,
-6,-0.6797,0.00763,0.00287,-0.0037,0.9156,0.0856,-2.2613,0,0.2361,,
-5,-0.5691,0.00698,0.00225,-0.0023,0.8602,0.1259,-1.7892,0,0.2382,,
-4,-0.4571,0.00644,0.00175,-0.0014,0.7918,0.1798,-1.3991,0,0.2399,,
-3,-0.3444,0.00601,0.00137,-0.0007,0.7122,0.2506,-1.0768,0,0.2415,,
-2,-0.2302,0.00571,0.00112,-0.0003,0.6346,0.3244,-0.8276,0,0.2425,,
-1,-0.1152,0.00554,0.00097,-0.0001,0.5569,0.3998,-0.6384,0,0.2428,,
0,0,0.00549,0.00093,0,0.4772,0.4772,-0.4959,0,0.1966,,
1,0.1152,0.00554,0.00097,0.0001,0.3998,0.5569,-0.6384,0,0.2428,,
2,0.2302,0.00571,0.00112,0.0003,0.3244,0.6346,-0.8276,0,0.2425,,
3,0.3444,0.00601,0.00137,0.0007,0.2506,0.7122,-1.0768,0,0.2415,,
4,0.4571,0.00644,0.00175,0.0014,0.1797,0.7918,-1.3992,0,0.24,,
5,0.5691,0.00698,0.00225,0.0023,0.1259,0.8602,-1.7893,0,0.2383,,
6,0.6797,0.00763,0.00287,0.0037,0.0856,0.9156,-2.2615,0,0.2362,,
7,0.788,0.00842,0.0036,0.0056,0.0589,0.9555,-2.7957,0,0.2336,,
8,0.8972,0.00925,0.00439,0.0074,0.0451,0.9821,-3.4283,0,0.2315,,
9,1.0206,0.01029,0.00538,0.0059,0.0347,0.9937,-4.1561,0,0.2328,,
10,1.1516,0.01156,0.00661,0.0027,0.0265,0.9978,-5.0025,0,0.235,,
11,1.258,0.01287,0.00792,0.0045,0.0219,1,-5.9072,0,0.2323,,
12,1.3372,0.01428,0.00942,0.0118,0.0187,1,-6.7486,0,0.2255,,
13,1.4248,0.01578,0.01101,0.017,0.0173,1,-7.693,0,0.2207,,
14,1.4895,0.018,0.01334,0.0253,0.0149,1,-8.5631,0,0.2139,,
15,1.5374,0.02161,0.01719,0.0334,0.013,1,-9.3494,0,0.2072,,
16,1.5728,0.02701,0.02289,0.039,0.0121,1,-10.0949,0,0.202,,
17,1.6047,0.03413,0.03025,0.041,0.0119,1,-10.8508,0,0.1989,,
18,1.6082,0.04544,0.04187,0.0393,0.0116,1,-11.3949,0,0.1974,,
19,1.5663,0.06356,0.06037,0.0328,0.0112,1,-11.5421,0,0.1981,,
20,1.4664,0.09088,0.08814,0.0201,0.0111,1,-11.1132,0,0.2026,,
22,1.2147,0.16034,0.15843,-0.019,0.0109,1,-9.2349,0,0.2271,,
23,1.1332,0.19272,0.19111,-0.0399,0.0103,1,-8.3686,0,0.2448,,
24,1.0789,0.22364,0.22225,-0.0605,0.0094,1,-7.5425,0,0.264,,
25,0.9627,0.28567,0.2846,-0.0975,0.0065,1,-4.1157,0,0.3122,,
