alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-22,-0.581,0.2427,0.24154,0.0093,1,0.0077,-2.697,0,0.2286,,
-21,-0.5418,0.23294,0.23179,0.0017,1,0.0085,-2.3683,0,0.2171,,
-20,-0.5063,0.22103,0.21988,-0.0061,1,0.0099,-2.195,0,0.2029,,
-19,-0.486,0.20304,0.20188,-0.0147,1,0.0095,-2.4308,0,0.1849,,
-18,-0.7787,0.11969,0.11804,-0.0547,1,0.0137,-7.7048,0,0.1461,,
-17,-1.0278,0.06913,0.06701,-0.087,1,0.0132,-10.187,0,0.1366,,
-16,-1.2407,0.02744,0.02459,-0.1174,0.9993,0.0127,-11.872,0,0.1314,,
-15,-1.1838,0.01982,0.0164,-0.1202,0.9883,0.0135,-11.0236,0,0.1264,,
-14,-1.1015,0.01632,0.01253,-0.1165,0.9688,0.0147,-9.9644,0,0.1239,,
-13,-1.0057,0.0141,0.01011,-0.1128,0.9475,0.0167,-8.8455,0,0.1187,,
-12,-0.8983,0.01267,0.00852,-0.1105,0.9251,0.0184,-7.7109,0,0.109,,
-11,-0.786,0.01164,0.00734,-0.1089,0.897,0.0188,-6.6774,0,0.0943,,
-10,-0.6752,0.01018,0.00562,-0.1073,0.8698,0.0223,-5.8197,0,0.0744,,
-9,-0.5603,0.00924,0.00457,-0.1063,0.8399,0.0259,-4.971,0,0.0436,,
-8,-0.4437,0.00862,0.00377,-0.1057,0.8044,0.0282,-4.1686,0,-0.0053,,
-7,-0.3272,0.00795,0.003,-0.1052,0.7683,0.0354,-3.4328,0,-0.0903,,
-6,-0.21,0.00749,0.00243,-0.1049,0.727,0.0438,-2.769,0,-0.2731,,
-5,-0.0929,0.00716,0.00199,-0.1047,0.6817,0.055,-2.2225,0,-0.9192,,
-4,0.0243,0.00692,0.00167,-0.1047,0.6358,0.0708,-1.7177,0,4.6777,,
-3,0.1412,0.00676,0.00144,-0.1047,0.5887,0.0959,-1.2961,0,1.0048,,
-2,0.2576,0.00667,0.00132,-0.1047,0.5434,0.1318,-0.9339,0,0.6603,,
-1,0.3746,0.00661,0.00128,-0.1049,0.5065,0.1773,-0.8215,0,0.5301,,
0,0.4915,0.00655,0.00131,-0.1052,0.4775,0.2411,-0.9158,0,0.4619,,
1,0.6078,0.00652,0.00142,-0.1054,0.4513,0.3311,-1.0172,0,0.4198,,
2,0.7235,0.00622,0.0016,-0.1057,0.4357,0.5402,-1.1276,0,0.3912,,
3,0.8378,0.00597,0.00188,-0.1056,0.4173,0.7692,-1.2502,0,0.3699,,
4,0.9437,0.00596,0.00227,-0.1032,0.3923,0.9778,-1.3826,0,0.352,,
5,1.0711,0.0065,0.00265,-0.106,0.3577,1,-1.5611,0,0.3404,,
6,1.1744,0.00725,0.00318,-0.1036,0.312,1,-1.7931,0,0.3284,,
7,1.2735,0.00827,0.00394,-0.1006,0.2575,1,-2.1205,0,0.3178,,
8,1.3629,0.00968,0.00502,-0.096,0.1948,1,-2.508,0,0.3078,,
9,1.4352,0.01142,0.00646,-0.0883,0.1366,1,-2.9094,0,0.2973,,
10,1.5005,0.01357,0.00838,-0.0801,0.0922,1,-3.3714,0,0.2876,,
11,1.5641,0.01601,0.01072,-0.0726,0.0656,1,-3.8533,0,0.2788,,
12,1.6202,0.01914,0.01381,-0.0651,0.0465,1,-4.365,0,0.2708,,
13,1.6703,0.02305,0.01776,-0.0583,0.0361,1,-4.9241,0,0.2635,,
14,1.71,0.02828,0.02306,-0.0521,0.0293,1,-5.4686,0,0.257,,
15,1.745,0.03454,0.02949,-0.0471,0.0256,1,-6.0141,0,0.2513,,
16,1.7578,0.04362,0.03872,-0.0431,0.0212,1,-6.4794,0,0.2464,,
17,1.7642,0.05403,0.04936,-0.0405,0.0186,1,-6.921,0,0.2423,,
18,1.7617,0.06607,0.06165,-0.0394,0.0175,1,-7.3283,0,0.2391,,
19,1.7387,0.08081,0.07663,-0.0397,0.0158,1,-7.6824,0,0.2369,,
20,1.7041,0.09763,0.09372,-0.0419,0.0137,1,-7.9502,0,0.236,,
21,1.6605,0.11612,0.11253,-0.0461,0.0122,1,-8.1298,0,0.2364,,
22,1.6408,0.13195,0.12862,-0.0513,0.012,1,-8.4502,0,0.237,,
23,1.6123,0.14922,0.14616,-0.0586,0.0118,1,-8.6789,0,0.2391,,
24,1.5839,0.16732,0.16452,-0.068,0.0113,1,-8.861,0,0.2427,,
25,1.5586,0.18564,0.18308,-0.0791,0.0105,1,-9.0149,0,0.2473,,
