alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
-14,-1.1131,0.04155,0.03973,-0.0632,1,0.0069,-11.7296,0,0.1762,,
-13,-1.1727,0.0243,0.02161,-0.066,1,0.0071,-11.8674,0,0.1789,,
-12,-1.1447,0.01771,0.01425,-0.0549,0.9998,0.0074,-10.9519,0,0.1888,,
-11,-1.03,0.0136,0.00959,-0.0562,0.9959,0.0081,-9.3324,0,0.1836,,
-10,-0.9013,0.01126,0.007,-0.0588,0.9929,0.0102,-7.8503,0,0.1741,,
-9,-0.7785,0.0102,0.00591,-0.0596,0.9822,0.012,-6.5002,0,0.1638,,
-8,-0.6684,0.00895,0.00446,-0.0577,0.9584,0.0142,-5.3823,0,0.155,,
-7,-0.5566,0.00801,0.00343,-0.0562,0.9308,0.0183,-4.3343,0,0.141,,
-6,-0.4427,0.0073,0.00263,-0.0553,0.8967,0.0247,-3.3719,0,0.1177,,
-5,-0.328,0.00677,0.002,-0.0546,0.8519,0.0354,-2.5396,0,0.0762,,
-4,-0.2128,0.00635,0.00151,-0.0542,0.7991,0.055,-1.8854,0,-0.0128,,
-3,-0.0975,0.006,0.00113,-0.054,0.739,0.0934,-1.3139,0,-0.3154,,
-2,0.0177,0.00572,0.00088,-0.0539,0.6724,0.1577,-0.8768,0,3.3367,,
-1,0.1323,0.00551,0.00075,-0.0538,0.5998,0.2569,-0.5546,0,0.6582,,
0,0.2472,0.00532,0.00073,-0.0539,0.5347,0.389,-0.5474,0,0.4669,,
1,0.361,0.00501,0.00081,-0.0539,0.4771,0.6005,-0.6505,0,0.3969,,
2,0.4741,0.00487,0.00101,-0.0535,0.4218,0.7903,-0.785,0,0.3596,,
3,0.5814,0.00503,0.00132,-0.0515,0.3517,0.945,-1.0103,0,0.3346,,
4,0.7017,0.00589,0.0018,-0.0527,0.2463,0.9946,-1.3967,0,0.3204,,
5,0.8203,0.00716,0.00252,-0.054,0.1303,1,-1.9127,0,0.3102,,
6,0.9221,0.00829,0.00333,-0.0513,0.0668,1,-2.4881,0,0.299,,
7,1.0279,0.00936,0.00422,-0.0493,0.036,1,-3.2528,0,0.2903,,
8,1.1343,0.01041,0.00521,-0.0475,0.0242,1,-4.1046,0,0.2829,,
9,1.2386,0.01159,0.00637,-0.0452,0.017,1,-5.0237,0,0.2762,,
11,1.4353,0.01451,0.00942,-0.0387,0.0103,1,-7.3648,0,0.2636,,
12,1.5178,0.01673,0.01179,-0.0329,0.008,1,-8.594,0,0.2567,,
13,1.5637,0.02018,0.01563,-0.022,0.007,1,-9.6145,0,0.2473,,
15,1.6622,0.0281,0.02397,-0.0083,0.0066,1,-12.0655,0,0.2342,,
16,1.6924,0.03497,0.03109,-0.0042,0.006,1,-13.1908,0,0.2294,,
17,1.6931,0.04621,0.04264,-0.0032,0.0052,1,-13.9989,0,0.2264,,
18,1.6559,0.06372,0.06055,-0.007,0.0048,1,-14.339,0,0.2262,,
19,1.5824,0.08795,0.08522,-0.016,0.0046,1,-14.1674,0,0.2295,,
20,1.4778,0.11903,0.11676,-0.0304,0.0046,1,-13.4418,0,0.2376,,
21,1.3635,0.15469,0.15284,-0.05,0.0047,1,-12.2681,0,0.2518,,
22,1.2572,0.19345,0.19198,-0.0741,0.0047,1,-10.7087,0,0.2727,,
23,1.1704,0.236,0.23485,-0.1014,0.0045,1,-8.699,0,0.2999,,
